step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
900.0,573,15830.0,16.186094069529652,1.5608169738387192,573,93806.0,0.08057063264609271,573,93806.0
905.0,597,16356.0,16.638860630722277,1.477750202077707,597,96045.0,0.07932092414611451,597,96045.0
910.0,612,16985.0,17.226166328600407,1.3436003847973705,612,98879.0,0.0723646295170561,612,98879.0
915.0,613,16378.0,16.394394394394393,1.3800113983120281,613,99483.0,0.07448770385283855,613,99483.0
920.0,618,16711.0,16.561942517343905,1.4514873150216219,618,101280.0,0.0755161792153345,618,101280.0
925.0,628,17191.0,16.820939334637966,1.4078532422174062,628,103978.0,0.07108403815110592,628,103978.0
930.0,658,18145.0,17.565343659244917,1.3750217115089007,658,106538.0,0.06643905465313249,658,106538.0
935.0,675,19166.0,18.35823754789272,1.33318051512875,675,109855.0,0.06690252249203343,675,109855.0
940.0,686,18609.0,17.655597722960152,1.308878294710991,686,109591.0,0.06387457112250737,686,109591.0
945.0,695,18552.0,17.50188679245283,1.2868948655161236,695,110372.0,0.056891440967198705,695,110372.0
950.0,716,18687.0,17.448179271708682,1.389109283848752,716,113888.0,0.06013710983136323,716,113888.0
955.0,718,19026.0,17.60037002775208,1.387228873256339,718,116829.0,0.05807994712304731,718,116829.0
960.0,722,19664.0,18.023831347387716,1.380227560040247,722,119962.0,0.056065401898798425,722,119962.0
965.0,721,20084.0,18.208522212148686,1.36492105408211,721,122853.0,0.05649010455794801,721,122853.0
970.0,713,20467.0,18.339605734767026,1.4171493286855936,713,123233.0,0.0586664676001402,713,123233.0
975.0,713,21274.0,18.943900267141586,1.4785669955149796,713,124699.0,0.062142774564012335,713,124699.0
980.0,710,21952.0,19.409372236958443,1.4465688229574687,710,128163.0,0.06194872552783139,710,128163.0
985.0,724,22804.0,20.056288478452068,1.40969572968288,724,131113.0,0.05771876678849709,724,131113.0
990.0,733,23973.0,20.88240418118467,1.4495666333143002,733,134037.0,0.06523346527517908,733,134037.0
995.0,693,23942.0,20.58641444539983,1.584691320482754,693,132901.0,0.07326499147611515,693,132901.0
1000.0,688,25033.0,21.48755364806867,1.5565087553357577,688,136560.0,0.0738933544914628,688,136560.0
1005.0,687,25592.0,21.892215568862277,1.509982853561042,687,139013.0,0.07405708326913543,687,139013.0
1010.0,687,25937.0,22.07404255319149,1.4764567971737352,687,142441.0,0.07327973921173975,687,142441.0
1015.0,671,24317.0,20.50337268128162,1.4246149949693934,671,141882.0,0.06831872440259763,671,141882.0
1020.0,653,23646.0,19.820620284995808,1.38769753035773,653,144912.0,0.06605497197533355,653,144912.0
1025.0,673,23815.0,19.812811980033278,1.2621306573207816,673,147595.0,0.05549958872545388,673,147595.0
1030.0,719,24172.0,19.976859504132232,1.1966530216666462,719,150951.0,0.048697158177402486,719,150951.0
1035.0,743,24230.0,20.008257638315442,1.00750748798342,743,153835.0,0.03719058945070764,743,153835.0
1040.0,690,19195.0,15.850536746490503,1.1052681698488658,690,151645.0,0.046084921424918664,690,151645.0
1045.0,686,18879.0,15.461916461916461,1.243333146565639,686,155001.0,0.05730273841295597,686,155001.0
1050.0,679,18418.0,15.035102040816327,1.2484660550539113,679,155066.0,0.05641625222492241,679,155066.0
1055.0,692,18714.0,15.165316045380875,1.208799632535257,692,158225.0,0.052945935423901545,692,158225.0
1060.0,709,18420.0,14.818986323411103,1.1537348498829563,709,161523.0,0.04857605429212044,709,161523.0
1065.0,740,18461.0,14.7688,1.1005667205028258,740,165227.0,0.04604740003230315,740,165227.0
1070.0,744,17942.0,14.239682539682539,1.1349260446712577,744,167967.0,0.050766976117590824,744,167967.0
1075.0,764,17859.0,14.196343402225756,0.9292500214822014,764,171487.0,0.038305544572653866,764,171487.0
1080.0,792,17968.0,14.27164416203336,0.9275117974951611,792,171235.0,0.03903364686189805,792,171235.0
1085.0,760,16619.0,13.10646687697161,1.0194736421790425,760,171763.0,0.04088046286555236,760,171763.0
1090.0,784,16837.0,13.21585557299843,1.16373066785504,784,172191.0,0.045625198982734386,784,172191.0
1095.0,774,17249.0,13.47578125,1.2739996395453521,774,171548.0,0.04507400548591572,774,171548.0
1100.0,800,18399.0,14.340607950116913,1.2491737624301515,800,175483.0,0.04421864679832822,800,175483.0
1105.0,832,19829.0,15.383242823894491,1.1775141377427816,832,178855.0,0.038434523763065755,832,178855.0
1110.0,814,20926.0,16.171561051004637,1.1442192207338382,814,182536.0,0.03860022258729222,814,182536.0
1115.0,838,22701.0,17.516203703703702,1.0728613355258725,838,185838.0,0.0354138769273756,838,185838.0
1120.0,872,25170.0,19.40632228218967,1.0164444465715552,872,190019.0,0.03357113877460583,872,190019.0
1125.0,904,27943.0,21.412260536398467,1.0250601864577273,904,194101.0,0.033100325456748084,904,194101.0
1130.0,927,30817.0,23.47067783701447,1.0160226215635195,927,197932.0,0.03163707178043812,927,197932.0
1135.0,927,31907.0,24.171969696969697,1.0502719617095053,927,198324.0,0.03283951897902057,927,198324.0
1140.0,926,32929.0,24.965125094768766,0.9844775003315598,926,202953.0,0.03127842315041162,926,202953.0
1145.0,901,32745.0,24.939070830159938,0.9567058862206398,901,204286.0,0.03218022477694454,901,204286.0
1150.0,896,33420.0,25.57000765110941,0.9398378506285948,896,208783.0,0.03516527679006558,896,208783.0
1155.0,913,34019.0,26.068199233716474,0.8672665481005429,913,212468.0,0.03305918478440717,913,212468.0
1160.0,909,32390.0,24.838957055214724,0.8538991826236161,909,216761.0,0.03397297726866527,909,216761.0
1165.0,919,31858.0,24.430981595092025,0.8466710796792732,919,220365.0,0.034422471683900946,919,220365.0
1170.0,919,32666.0,25.069838833461244,0.8217312309122671,919,224969.0,0.03247862622533201,919,224969.0
1175.0,860,28833.0,22.128165771297006,0.9506674854290675,860,220664.0,0.03970830860887626,860,220664.0
1180.0,822,25155.0,19.305448963929393,1.1202924567718575,822,223909.0,0.05123422078877454,822,223909.0
1185.0,817,23800.0,18.20964039785769,1.1912678487143464,817,224452.0,0.0540609765633319,817,224452.0
1190.0,794,22792.0,17.371951219512194,1.2191759412797896,794,227728.0,0.05488553491209592,794,227728.0
1195.0,778,22066.0,16.792998477929984,1.2020831925982338,778,226141.0,0.05260866084892373,778,226141.0
1200.0,698,14808.0,11.26083650190114,1.2886107220434215,698,225511.0,0.05883777751737731,698,225511.0
1205.0,702,13442.0,10.229832572298326,1.3212088264330395,702,227413.0,0.06165175293269485,702,227413.0
1210.0,722,13062.0,9.925531914893616,1.2362411740868329,722,230721.0,0.057085415206529155,722,230721.0
1215.0,734,13034.0,9.874242424242425,1.167780380353575,734,228932.0,0.052825278568688,734,228932.0
1220.0,742,13072.0,9.873111782477341,1.1362809645943721,742,232078.0,0.04835530708764562,742,232078.0
1225.0,798,13116.0,9.869074492099323,1.1052648234595788,798,234621.0,0.04368869235084104,798,234621.0
1230.0,824,14252.0,10.683658170914542,1.0847762189371888,824,237927.0,0.04192720956633901,824,237927.0
1235.0,854,15879.0,11.832339791356185,1.0388880844825683,854,240574.0,0.03891127276870314,854,240574.0
1240.0,823,15991.0,11.889219330855019,1.0029280695927163,823,240522.0,0.03692568432692828,823,240522.0
1245.0,811,15719.0,11.652335063009637,1.0097893877340485,811,243597.0,0.03740624050377836,811,243597.0
1250.0,764,13570.0,10.066765578635016,1.0082007235496568,764,241530.0,0.039255914732112596,764,241530.0
1255.0,727,12445.0,9.218518518518518,1.00848168298335,727,244280.0,0.04141830502086911,727,244280.0
1260.0,742,12558.0,9.254237288135593,0.9833613217347287,742,246716.0,0.04120531473487492,742,246716.0
1265.0,794,12695.0,9.320851688693098,0.8922119236672983,794,250755.0,0.03396980374916903,794,250755.0
1270.0,814,13415.0,9.820644216691068,0.9078491473898084,814,250463.0,0.03273930010166163,814,250463.0
1275.0,829,14136.0,10.356043956043957,0.8684050137925069,829,254180.0,0.02925012619398766,829,254180.0
1280.0,812,14354.0,10.515750915750916,0.903984539599666,812,252591.0,0.03216747259247742,812,252591.0
1285.0,775,14369.0,10.519033674963397,1.0290809235773395,775,251800.0,0.03744424358345189,775,251800.0
1290.0,806,15195.0,11.099342585829072,1.0745180221550004,806,254523.0,0.03880727729686969,806,254523.0
1295.0,830,16723.0,12.215485756026297,1.0615298633738852,830,257332.0,0.03617963600492274,830,257332.0
1300.0,866,18284.0,13.35573411249087,0.9814172809212351,866,261422.0,0.031039097573531918,866,261422.0
